Subscription date;Subscription prices;Product category;Product name;Region;Country;City;Domain name
25/01/2009;500;Digital Experience Monitoring;Frustration Scoring;Europe;Italy;Turin;Télécommunications
15/02/2012;10000;Digital Experience Monitoring;Frustration Scoring;Asia;South Korea;Incheon;Télécommunications
28/02/2020;10000;Digital Experience Monitoring;Speed Analysis;North America;Mexico;Monterrey;Santé et soins de santé
20/03/2022;2000;Product Analytics;Cross-Session;Europe;Germany;Frankfurt;Médias et divertissement
02/11/2019;1000;Key Capabilities;Impact Quantification;Asia;China;Shanghai;Télécommunications
16/02/2020;10000;Key Capabilities;Mobile App Analytics;North America;United States;New York City;Services financiers et bancaires
17/12/2015;500;Product Analytics;User Segments;Africa;Nigeria;Port Harcourt;Services financiers et bancaires
06/07/2009;2000;Key Capabilities;Session Replay;Europe;Germany;Berlin;Sports et loisirs
25/07/2023;2000;Key Capabilities;Session Replay;Europe;Spain;Zaragoza;Services financiers et bancaires
03/08/2012;5000;Digital Experience Monitoring;Speed Analysis;Europe;United Kingdom;Glasgow;Sports et loisirs
11/07/2015;2000;Key Capabilities;Impact Quantification;North America;Mexico;Mexico City;Tourisme et voyage
08/11/2009;10000;Product Analytics;User Segments;South America;Peru;Trujillo;Télécommunications
25/05/2008;10000;Key Capabilities;Mobile App Analytics;Africa;Egypt;Port Said;Médias et divertissement
16/12/2015;1000;Digital Experience Analytics;Journey Analysis;Europe;Spain;Barcelona;Tourisme et voyage
22/07/2012;500;Digital Experience Analytics;Zone-Based Heatmaps;Asia;Japan;Osaka;Sports et loisirs
12/08/2008;500;Digital Experience Analytics;Zone-Based Heatmaps;Asia;India;Chennai;Santé et soins de santé
10/09/2023;5000;Key Capabilities;Impact Quantification;North America;Mexico;Monterrey;Médias et divertissement
02/01/2010;10000;Product Analytics;User Segments;North America;United States;New York City;Tourisme et voyage
31/08/2008;10000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Los Angeles;Services financiers et bancaires
29/04/2011;5000;Key Capabilities;Mobile App Analytics;North America;United States;Los Angeles;Télécommunications
03/09/2016;5000;Digital Experience Monitoring;Frustration Scoring;North America;United States;Phoenix;Santé et soins de santé
14/07/2011;1000;Digital Experience Analytics;Zone-Based Heatmaps;Africa;Nigeria;Kano;Services financiers et bancaires
29/04/2009;10000;Product Analytics;User Segments;Africa;Nigeria;Kaduna;Tourisme et voyage
22/01/2020;5000;Digital Experience Monitoring;Error Analysis;North America;Canada;Calgary;Commerce de détail et e-commerce
24/01/2011;10000;Product Analytics;User Segments;Europe;United Kingdom;Manchester;Sports et loisirs
27/09/2018;10000;Key Capabilities;Impact Quantification;Europe;France;Nice;Éducation et formation
13/08/2013;5000;Digital Experience Analytics;Journey Analysis;North America;United States;New York City;Services professionnels (conseil, comptabilité, juridique)
24/07/2019;2000;Key Capabilities;Session Replay;Europe;France;Nice;Santé et soins de santé
01/10/2008;2000;Product Analytics;User Segments;Europe;Germany;Hamburg;Télécommunications
09/01/2015;2000;Product Analytics;User Segments;Asia;India;Chennai;Médias et divertissement
22/08/2012;1000;Digital Experience Monitoring;Frustration Scoring;Asia;China;Shenzhen;Santé et soins de santé
27/10/2009;500;Key Capabilities;Mobile App Analytics;Asia;China;Shanghai;Commerce de détail et e-commerce
08/02/2015;10000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Spain;Zaragoza;Médias et divertissement
01/12/2010;5000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Italy;Rome;Santé et soins de santé
05/04/2013;10000;Product Analytics;User Segments;Europe;Italy;Naples;Éducation et formation
12/05/2023;5000;Key Capabilities;Session Replay;North America;Mexico;Tijuana;Éducation et formation
10/09/2019;2000;Digital Experience Monitoring;Speed Analysis;North America;United States;Los Angeles;Sports et loisirs
04/02/2022;2000;Product Analytics;Retention Analytics;Europe;Germany;Berlin;Services professionnels (conseil, comptabilité, juridique)
12/02/2014;5000;Product Analytics;User Segments;Europe;United Kingdom;Manchester;Automobile et transport
19/02/2023;2000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Mexico;Tijuana;Éducation et formation
17/09/2008;2000;Key Capabilities;Mobile App Analytics;North America;United States;Phoenix;Télécommunications
03/04/2014;2000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;South Korea;Seoul;Sports et loisirs
18/02/2019;1000;Product Analytics;User Segments;South America;Brazil;Salvador;Automobile et transport
30/11/2009;1000;Digital Experience Monitoring;Speed Analysis;North America;Canada;Toronto;Médias et divertissement
05/06/2008;1000;Digital Experience Analytics;Zone-Based Heatmaps;South America;Argentina;La Plata;Éducation et formation
05/04/2022;2000;Digital Experience Monitoring;Speed Analysis;North America;Canada;Montreal;Commerce de détail et e-commerce
18/09/2011;10000;Digital Experience Monitoring;Frustration Scoring;North America;Jamaica;Montego Bay;Santé et soins de santé
13/03/2017;1000;Key Capabilities;Mobile App Analytics;North America;Canada;Calgary;Éducation et formation
05/11/2008;5000;Key Capabilities;Session Replay;Asia;China;Shenzhen;Services financiers et bancaires
02/08/2021;2000;Digital Experience Monitoring;Speed Analysis;Europe;Germany;Munich;Automobile et transport
26/02/2010;1000;Key Capabilities;Session Replay;Europe;France;Marseille;Santé et soins de santé
25/01/2012;1000;Product Analytics;Cross-Session;Europe;France;Toulouse;Services financiers et bancaires
28/04/2019;10000;Key Capabilities;Impact Quantification;South America;Brazil;Rio de Janeiro;Télécommunications
09/12/2009;2000;Key Capabilities;Impact Quantification;Europe;Italy;Naples;Automobile et transport
03/07/2017;500;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;New York City;Services professionnels (conseil, comptabilité, juridique)
08/08/2017;5000;Product Analytics;User Segments;South America;Colombia;Barranquilla;Services professionnels (conseil, comptabilité, juridique)
27/04/2010;500;Digital Experience Analytics;Zone-Based Heatmaps;Asia;China;Guangzhou;Sports et loisirs
21/06/2022;500;Product Analytics;User Segments;Europe;France;Toulouse;Automobile et transport
24/02/2014;2000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Canada;Calgary;Services financiers et bancaires
22/03/2009;2000;Digital Experience Monitoring;Frustration Scoring;North America;United States;New York City;Services professionnels (conseil, comptabilité, juridique)
08/09/2011;10000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;France;Paris;Santé et soins de santé
23/05/2017;5000;Key Capabilities;Session Replay;Europe;United Kingdom;Birmingham;Télécommunications
21/11/2010;1000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Canada;Montreal;Services professionnels (conseil, comptabilité, juridique)
30/06/2021;2000;Digital Experience Analytics;Merchandising;North America;Canada;Calgary;Santé et soins de santé
16/02/2020;10000;Key Capabilities;Impact Quantification;Asia;South Korea;Incheon;Services financiers et bancaires
08/04/2021;2000;Key Capabilities;Session Replay;North America;Canada;Toronto;Services professionnels (conseil, comptabilité, juridique)
20/09/2019;500;Product Analytics;User Segments;North America;United States;New York City;Services professionnels (conseil, comptabilité, juridique)
13/04/2021;10000;Digital Experience Monitoring;Speed Analysis;Asia;South Korea;Incheon;Services financiers et bancaires
08/02/2021;10000;Product Analytics;User Segments;Europe;France;Toulouse;Commerce de détail et e-commerce
20/05/2011;1000;Product Analytics;User Segments;South America;Brazil;São Paulo;Santé et soins de santé
27/09/2016;1000;Digital Experience Analytics;Journey Analysis;Europe;Italy;Turin;Sports et loisirs
17/04/2015;1000;Product Analytics;User Segments;Europe;France;Paris;Automobile et transport
13/09/2013;500;Digital Experience Monitoring;Error Analysis;North America;United States;Houston;Services professionnels (conseil, comptabilité, juridique)
13/07/2008;500;Digital Experience Analytics;Journey Analysis;North America;Cuba;Holguín;Tourisme et voyage
06/02/2013;5000;Digital Experience Analytics;Merchandising;Europe;United Kingdom;Glasgow;Médias et divertissement
14/02/2022;1000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;South Korea;Busan;Télécommunications
12/08/2015;5000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;India;Mumbai;Tourisme et voyage
21/06/2012;5000;Digital Experience Monitoring;Error Analysis;South America;Argentina;Mendoza;Automobile et transport
12/09/2016;5000;Digital Experience Analytics;Merchandising;South America;Colombia;Bogotá;Sports et loisirs
06/07/2012;1000;Digital Experience Analytics;Journey Analysis;Asia;South Korea;Daejeon;Services professionnels (conseil, comptabilité, juridique)
29/03/2015;500;Product Analytics;User Segments;Africa;South Africa;Port Elizabeth;Sports et loisirs
19/08/2014;500;Digital Experience Analytics;Zone-Based Heatmaps;South America;Brazil;Fortaleza;Services professionnels (conseil, comptabilité, juridique)
07/03/2012;10000;Product Analytics;Retention Analytics;Europe;Spain;Seville;Éducation et formation
21/04/2013;500;Digital Experience Analytics;Zone-Based Heatmaps;North America;Canada;Toronto;Services professionnels (conseil, comptabilité, juridique)
19/11/2017;1000;Product Analytics;User Segments;Europe;Spain;Valencia;Santé et soins de santé
31/01/2015;2000;Product Analytics;User Segments;Europe;United Kingdom;Liverpool;Médias et divertissement
07/10/2018;5000;Digital Experience Analytics;Journey Analysis;North America;United States;Los Angeles;Services financiers et bancaires
05/03/2014;1000;Product Analytics;User Segments;South America;Brazil;Brasília;Sports et loisirs
14/09/2015;500;Digital Experience Analytics;Journey Analysis;North America;Canada;Montreal;Sports et loisirs
12/10/2019;5000;Digital Experience Analytics;Journey Analysis;Europe;Italy;Naples;Santé et soins de santé
29/03/2013;500;Digital Experience Monitoring;Speed Analysis;Europe;France;Paris;Santé et soins de santé
05/12/2009;10000;Digital Experience Monitoring;Speed Analysis;Asia;South Korea;Seoul;Tourisme et voyage
08/09/2020;2000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;India;Mumbai;Services financiers et bancaires
18/03/2013;1000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;Saudi Arabia;Mecca;Sports et loisirs
19/09/2008;10000;Product Analytics;Retention Analytics;North America;Jamaica;Spanish Town;Services professionnels (conseil, comptabilité, juridique)
29/08/2017;2000;Product Analytics;User Segments;Europe;Spain;Valencia;Services financiers et bancaires
01/01/2018;2000;Product Analytics;Retention Analytics;North America;United States;Houston;Télécommunications
13/02/2023;1000;Product Analytics;User Segments;South America;Colombia;Medellín;Commerce de détail et e-commerce
23/07/2019;1000;Digital Experience Monitoring;Speed Analysis;North America;United States;Los Angeles;Tourisme et voyage
30/01/2020;10000;Product Analytics;User Segments;South America;Brazil;Salvador;Services professionnels (conseil, comptabilité, juridique)
11/10/2021;1000;Digital Experience Analytics;Zone-Based Heatmaps;Africa;Nigeria;Port Harcourt;Santé et soins de santé
07/07/2016;500;Digital Experience Analytics;Zone-Based Heatmaps;Asia;China;Shenzhen;Tourisme et voyage
24/06/2019;10000;Digital Experience Analytics;Zone-Based Heatmaps;Africa;Nigeria;Ibadan;Automobile et transport
17/05/2018;500;Digital Experience Monitoring;Frustration Scoring;South America;Argentina;Córdoba;Commerce de détail et e-commerce
24/08/2019;10000;Digital Experience Monitoring;Speed Analysis;North America;Canada;Calgary;Éducation et formation
30/07/2012;500;Product Analytics;Cross-Session;Asia;China;Chengdu;Éducation et formation
14/04/2010;5000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Canada;Toronto;Commerce de détail et e-commerce
21/08/2015;10000;Digital Experience Analytics;Journey Analysis;Europe;Germany;Munich;Médias et divertissement
31/10/2020;1000;Digital Experience Analytics;Journey Analysis;Europe;France;Lyon;Médias et divertissement
10/05/2020;500;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Chicago;Médias et divertissement
25/01/2022;2000;Digital Experience Monitoring;Frustration Scoring;South America;Argentina;Mendoza;Télécommunications
16/11/2018;2000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;United Kingdom;Birmingham;Sports et loisirs
20/09/2013;500;Key Capabilities;Session Replay;Africa;Nigeria;Port Harcourt;Santé et soins de santé
16/08/2017;1000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;France;Toulouse;Services professionnels (conseil, comptabilité, juridique)
01/09/2011;2000;Product Analytics;Retention Analytics;North America;Jamaica;Kingston;Médias et divertissement
11/10/2019;10000;Product Analytics;User Segments;Europe;Germany;Frankfurt;Automobile et transport
28/01/2011;1000;Product Analytics;User Segments;North America;Jamaica;Spanish Town;Télécommunications
30/06/2018;2000;Product Analytics;User Segments;Asia;Saudi Arabia;Jeddah;Médias et divertissement
31/03/2009;5000;Key Capabilities;Impact Quantification;Europe;Spain;Seville;Tourisme et voyage
24/12/2017;2000;Key Capabilities;Mobile App Analytics;Asia;Saudi Arabia;Riyadh;Services professionnels (conseil, comptabilité, juridique)
21/09/2011;500;Digital Experience Analytics;Merchandising;North America;Canada;Montreal;Commerce de détail et e-commerce
17/07/2008;500;Digital Experience Monitoring;Frustration Scoring;Europe;Spain;Barcelona;Services financiers et bancaires
23/04/2013;500;Product Analytics;Cross-Session;North America;United States;Chicago;Éducation et formation
14/01/2013;1000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;China;Guangzhou;Éducation et formation
09/12/2022;1000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;Germany;Berlin;Services professionnels (conseil, comptabilité, juridique)
06/11/2021;500;Digital Experience Analytics;Zone-Based Heatmaps;Europe;United Kingdom;Birmingham;Services financiers et bancaires
14/02/2017;500;Digital Experience Analytics;Zone-Based Heatmaps;Asia;India;Bangalore;Sports et loisirs
07/10/2010;500;Key Capabilities;Mobile App Analytics;Europe;United Kingdom;Glasgow;Médias et divertissement
02/09/2020;2000;Key Capabilities;Mobile App Analytics;Europe;United Kingdom;Birmingham;Sports et loisirs
22/04/2020;5000;Digital Experience Monitoring;Speed Analysis;Europe;United Kingdom;London;Services financiers et bancaires
05/11/2014;5000;Key Capabilities;Mobile App Analytics;North America;Mexico;Guadalajara;Services professionnels (conseil, comptabilité, juridique)
08/01/2015;5000;Product Analytics;Retention Analytics;Europe;Italy;Palermo;Services professionnels (conseil, comptabilité, juridique)
25/10/2012;1000;Digital Experience Monitoring;Frustration Scoring;Europe;United Kingdom;Birmingham;Télécommunications
25/09/2018;2000;Digital Experience Monitoring;Frustration Scoring;North America;United States;Phoenix;Commerce de détail et e-commerce
19/02/2017;1000;Digital Experience Analytics;Journey Analysis;Europe;Germany;Berlin;Services financiers et bancaires
21/08/2020;1000;Digital Experience Analytics;Journey Analysis;Europe;Spain;Seville;Télécommunications
09/09/2018;1000;Product Analytics;User Segments;Europe;France;Toulouse;Tourisme et voyage
28/02/2013;10000;Digital Experience Monitoring;Speed Analysis;Asia;Saudi Arabia;Mecca;Médias et divertissement
15/05/2018;10000;Product Analytics;Retention Analytics;Asia;South Korea;Daegu;Automobile et transport
06/06/2010;10000;Digital Experience Monitoring;Speed Analysis;North America;United States;Los Angeles;Services financiers et bancaires
11/10/2018;5000;Product Analytics;Retention Analytics;Asia;India;Bangalore;Médias et divertissement
13/05/2012;2000;Product Analytics;User Segments;North America;United States;Chicago;Télécommunications
20/01/2015;1000;Digital Experience Analytics;Merchandising;North America;United States;Los Angeles;Santé et soins de santé
13/09/2014;2000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Jamaica;Kingston;Commerce de détail et e-commerce
22/05/2023;2000;Product Analytics;User Segments;Europe;Italy;Naples;Santé et soins de santé
06/07/2014;500;Digital Experience Analytics;Journey Analysis;Asia;India;New Delhi;Automobile et transport
06/08/2010;10000;Product Analytics;Retention Analytics;North America;Jamaica;Kingston;Télécommunications
02/11/2023;500;Digital Experience Analytics;Journey Analysis;Asia;China;Beijing;Tourisme et voyage
02/09/2012;10000;Product Analytics;User Segments;Europe;France;Toulouse;Automobile et transport
19/01/2015;500;Product Analytics;User Segments;Europe;Spain;Seville;Tourisme et voyage
20/04/2023;2000;Digital Experience Monitoring;Frustration Scoring;Europe;Germany;Berlin;Télécommunications
20/12/2011;1000;Digital Experience Monitoring;Speed Analysis;South America;Brazil;Brasília;Services financiers et bancaires
30/12/2021;500;Key Capabilities;Session Replay;North America;United States;New York City;Automobile et transport
07/02/2023;5000;Digital Experience Monitoring;Frustration Scoring;South America;Brazil;Brasília;Santé et soins de santé
14/08/2016;1000;Product Analytics;User Segments;Europe;Germany;Munich;Médias et divertissement
06/10/2022;5000;Key Capabilities;Impact Quantification;North America;United States;Houston;Services professionnels (conseil, comptabilité, juridique)
11/06/2023;5000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Chicago;Services financiers et bancaires
21/08/2008;500;Digital Experience Monitoring;Speed Analysis;Asia;India;Bangalore;Télécommunications
03/07/2023;500;Product Analytics;Cross-Session;Europe;United Kingdom;Glasgow;Sports et loisirs
17/05/2011;10000;Digital Experience Monitoring;Speed Analysis;Europe;Spain;Valencia;Médias et divertissement
19/07/2014;500;Digital Experience Analytics;Zone-Based Heatmaps;Asia;India;Kolkata;Services financiers et bancaires
18/11/2016;10000;Key Capabilities;Session Replay;Europe;Germany;Hamburg;Commerce de détail et e-commerce
06/04/2016;1000;Product Analytics;User Segments;Asia;Saudi Arabia;Mecca;Services professionnels (conseil, comptabilité, juridique)
29/12/2021;500;Key Capabilities;Mobile App Analytics;Europe;United Kingdom;London;Services professionnels (conseil, comptabilité, juridique)
17/09/2008;10000;Digital Experience Monitoring;Speed Analysis;South America;Colombia;Cali;Automobile et transport
11/08/2023;500;Digital Experience Analytics;Journey Analysis;North America;United States;Chicago;Tourisme et voyage
10/11/2017;5000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;Japan;Sapporo;Commerce de détail et e-commerce
11/06/2023;1000;Product Analytics;User Segments;South America;Peru;Arequipa;Médias et divertissement
23/06/2011;2000;Digital Experience Monitoring;Speed Analysis;Asia;Japan;Yokohama;Télécommunications
27/10/2012;500;Digital Experience Monitoring;Speed Analysis;North America;Canada;Vancouver;Télécommunications
10/09/2018;1000;Digital Experience Analytics;Journey Analysis;Europe;Italy;Palermo;Services financiers et bancaires
12/12/2008;1000;Key Capabilities;Mobile App Analytics;North America;Canada;Vancouver;Médias et divertissement
11/04/2023;5000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Phoenix;Commerce de détail et e-commerce
26/03/2022;10000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;United Kingdom;Birmingham;Médias et divertissement
11/11/2012;10000;Key Capabilities;Mobile App Analytics;Europe;Germany;Hamburg;Santé et soins de santé
08/07/2010;1000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Chicago;Services professionnels (conseil, comptabilité, juridique)
06/08/2013;5000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Phoenix;Télécommunications
25/01/2014;500;Product Analytics;Retention Analytics;Europe;France;Paris;Éducation et formation
15/11/2018;2000;Digital Experience Monitoring;Speed Analysis;North America;Canada;Montreal;Télécommunications
12/10/2021;500;Product Analytics;User Segments;Europe;France;Toulouse;Éducation et formation
16/12/2013;10000;Digital Experience Monitoring;Error Analysis;Europe;France;Nice;Santé et soins de santé
19/12/2012;10000;Digital Experience Monitoring;Speed Analysis;Europe;France;Paris;Télécommunications
24/09/2014;500;Digital Experience Monitoring;Frustration Scoring;Asia;South Korea;Daejeon;Commerce de détail et e-commerce
10/04/2010;1000;Digital Experience Monitoring;Error Analysis;North America;United States;Los Angeles;Commerce de détail et e-commerce
27/12/2022;2000;Key Capabilities;Impact Quantification;South America;Chile;Antofagasta;Commerce de détail et e-commerce
21/08/2015;500;Product Analytics;User Segments;Europe;Spain;Zaragoza;Sports et loisirs
05/01/2021;10000;Digital Experience Analytics;Journey Analysis;Europe;Germany;Frankfurt;Services professionnels (conseil, comptabilité, juridique)
25/01/2018;10000;Key Capabilities;Impact Quantification;South America;Argentina;Buenos Aires;Sports et loisirs
07/08/2008;1000;Digital Experience Analytics;Zone-Based Heatmaps;South America;Argentina;La Plata;Services professionnels (conseil, comptabilité, juridique)
28/07/2022;10000;Digital Experience Monitoring;Speed Analysis;Europe;United Kingdom;Glasgow;Éducation et formation
18/08/2015;5000;Digital Experience Monitoring;Speed Analysis;Europe;United Kingdom;Liverpool;Automobile et transport
21/10/2016;10000;Key Capabilities;Mobile App Analytics;Asia;China;Chengdu;Services financiers et bancaires
05/12/2022;500;Digital Experience Analytics;Zone-Based Heatmaps;Europe;United Kingdom;London;Médias et divertissement
26/01/2020;2000;Digital Experience Monitoring;Frustration Scoring;South America;Brazil;Brasília;Santé et soins de santé
25/06/2021;5000;Digital Experience Monitoring;Speed Analysis;South America;Argentina;Córdoba;Services financiers et bancaires
24/05/2009;10000;Key Capabilities;Mobile App Analytics;Europe;Germany;Hamburg;Services professionnels (conseil, comptabilité, juridique)
08/10/2022;500;Key Capabilities;Session Replay;North America;United States;Los Angeles;Sports et loisirs
15/10/2023;5000;Product Analytics;User Segments;Europe;Germany;Cologne;Tourisme et voyage
03/03/2009;2000;Digital Experience Analytics;Journey Analysis;North America;Jamaica;May Pen;Éducation et formation
07/08/2018;500;Product Analytics;User Segments;South America;Argentina;La Plata;Tourisme et voyage
28/09/2016;5000;Digital Experience Analytics;Journey Analysis;Asia;Japan;Yokohama;Sports et loisirs
18/06/2016;1000;Digital Experience Monitoring;Speed Analysis;South America;Argentina;Córdoba;Tourisme et voyage
02/10/2010;500;Digital Experience Analytics;Zone-Based Heatmaps;South America;Brazil;Brasília;Automobile et transport
10/02/2022;500;Digital Experience Analytics;Zone-Based Heatmaps;Asia;South Korea;Incheon;Automobile et transport
21/11/2022;5000;Product Analytics;User Segments;North America;United States;New York City;Automobile et transport
23/02/2017;1000;Digital Experience Monitoring;Speed Analysis;North America;Mexico;Monterrey;Médias et divertissement
16/03/2016;1000;Digital Experience Monitoring;Speed Analysis;Asia;China;Shanghai;Éducation et formation
30/04/2022;2000;Digital Experience Analytics;Merchandising;Europe;France;Nice;Tourisme et voyage
21/01/2023;500;Product Analytics;Retention Analytics;North America;United States;New York City;Médias et divertissement
01/09/2022;5000;Product Analytics;Cross-Session;North America;Canada;Calgary;Santé et soins de santé
08/06/2018;500;Digital Experience Analytics;Zone-Based Heatmaps;South America;Brazil;Salvador;Automobile et transport
02/06/2015;10000;Digital Experience Analytics;Zone-Based Heatmaps;Africa;Nigeria;Ibadan;Télécommunications
06/12/2008;500;Key Capabilities;Impact Quantification;Europe;France;Lyon;Sports et loisirs
09/01/2023;500;Product Analytics;User Segments;Asia;South Korea;Incheon;Tourisme et voyage
15/06/2015;500;Key Capabilities;Impact Quantification;North America;Jamaica;May Pen;Sports et loisirs
29/12/2015;10000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Chicago;Commerce de détail et e-commerce
24/02/2011;10000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;Japan;Osaka;Services professionnels (conseil, comptabilité, juridique)
08/02/2010;5000;Product Analytics;Cross-Session;Asia;South Korea;Daegu;Éducation et formation
06/12/2019;5000;Key Capabilities;Mobile App Analytics;North America;United States;Phoenix;Médias et divertissement
31/12/2010;2000;Digital Experience Monitoring;Frustration Scoring;Europe;France;Lyon;Services financiers et bancaires
23/06/2010;500;Digital Experience Analytics;Zone-Based Heatmaps;North America;Mexico;Tijuana;Automobile et transport
14/06/2017;500;Product Analytics;Retention Analytics;Europe;France;Marseille;Éducation et formation
02/07/2016;2000;Key Capabilities;Impact Quantification;Europe;France;Nice;Médias et divertissement
13/12/2013;500;Digital Experience Analytics;Journey Analysis;Europe;France;Marseille;Tourisme et voyage
16/08/2011;500;Key Capabilities;Mobile App Analytics;Africa;South Africa;Pretoria;Tourisme et voyage
16/11/2022;2000;Product Analytics;User Segments;North America;Jamaica;May Pen;Automobile et transport
08/06/2021;500;Digital Experience Analytics;Zone-Based Heatmaps;Europe;France;Toulouse;Automobile et transport
23/04/2011;10000;Product Analytics;User Segments;Europe;France;Lyon;Sports et loisirs
07/03/2021;1000;Digital Experience Monitoring;Speed Analysis;Europe;United Kingdom;London;Automobile et transport
26/03/2018;500;Digital Experience Analytics;Zone-Based Heatmaps;Asia;China;Shanghai;Services financiers et bancaires
12/08/2010;1000;Digital Experience Analytics;Journey Analysis;Africa;South Africa;Durban;Automobile et transport
24/05/2017;2000;Key Capabilities;Session Replay;North America;Canada;Calgary;Automobile et transport
20/01/2012;10000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;India;Bangalore;Télécommunications
01/03/2011;10000;Digital Experience Analytics;Zone-Based Heatmaps;Asia;China;Guangzhou;Automobile et transport
06/03/2010;10000;Product Analytics;User Segments;South America;Brazil;Rio de Janeiro;Services financiers et bancaires
01/07/2016;500;Digital Experience Analytics;Zone-Based Heatmaps;North America;Canada;Toronto;Tourisme et voyage
28/04/2015;2000;Product Analytics;User Segments;North America;United States;Los Angeles;Médias et divertissement
19/08/2013;5000;Digital Experience Analytics;Zone-Based Heatmaps;Africa;Ethiopia;Gondar;Services financiers et bancaires
07/04/2022;500;Digital Experience Analytics;Zone-Based Heatmaps;North America;Cuba;Santa Clara;Services financiers et bancaires
07/06/2021;10000;Key Capabilities;Impact Quantification;Europe;Spain;Valencia;Santé et soins de santé
13/08/2021;2000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Canada;Ottawa;Automobile et transport
07/01/2018;10000;Digital Experience Monitoring;Speed Analysis;South America;Colombia;Medellín;Télécommunications
20/09/2011;10000;Digital Experience Monitoring;Speed Analysis;South America;Colombia;Cartagena;Automobile et transport
05/09/2020;1000;Key Capabilities;Mobile App Analytics;North America;United States;Los Angeles;Médias et divertissement
08/11/2023;5000;Digital Experience Monitoring;Speed Analysis;Europe;Germany;Cologne;Services financiers et bancaires
04/04/2017;1000;Product Analytics;User Segments;North America;Mexico;Guadalajara;Télécommunications
12/05/2020;5000;Digital Experience Monitoring;Speed Analysis;Europe;Italy;Rome;Tourisme et voyage
03/01/2022;10000;Digital Experience Monitoring;Speed Analysis;North America;Canada;Ottawa;Commerce de détail et e-commerce
22/01/2017;10000;Key Capabilities;Mobile App Analytics;North America;United States;New York City;Tourisme et voyage
29/06/2021;5000;Digital Experience Monitoring;Frustration Scoring;South America;Colombia;Bogotá;Tourisme et voyage
29/06/2018;5000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;United Kingdom;Manchester;Sports et loisirs
14/11/2014;5000;Digital Experience Analytics;Journey Analysis;South America;Brazil;Fortaleza;Éducation et formation
30/10/2021;5000;Product Analytics;User Segments;Asia;India;New Delhi;Automobile et transport
22/05/2022;1000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;New York City;Commerce de détail et e-commerce
12/12/2011;1000;Digital Experience Analytics;Zone-Based Heatmaps;North America;Mexico;Monterrey;Services professionnels (conseil, comptabilité, juridique)
26/01/2011;5000;Product Analytics;User Segments;North America;Jamaica;Portmore;Télécommunications
23/04/2021;500;Digital Experience Analytics;Zone-Based Heatmaps;South America;Peru;Chiclayo;Télécommunications
09/10/2022;5000;Digital Experience Analytics;Zone-Based Heatmaps;Europe;France;Lyon;Services financiers et bancaires
31/10/2021;5000;Product Analytics;User Segments;Asia;South Korea;Seoul;Sports et loisirs
25/10/2018;10000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Phoenix;Tourisme et voyage
18/03/2023;10000;Product Analytics;User Segments;Africa;South Africa;Port Elizabeth;Santé et soins de santé
18/07/2010;5000;Digital Experience Monitoring;Frustration Scoring;North America;Cuba;Santiago de Cuba;Automobile et transport
19/03/2009;10000;Digital Experience Analytics;Journey Analysis;Asia;India;Chennai;Santé et soins de santé
22/11/2012;500;Digital Experience Monitoring;Frustration Scoring;North America;United States;Phoenix;Santé et soins de santé
22/07/2011;2000;Digital Experience Analytics;Zone-Based Heatmaps;North America;United States;Houston;Éducation et formation
16/12/2015;2000;Product Analytics;User Segments;South America;Argentina;Mendoza;Éducation et formation
09/08/2022;2000;Product Analytics;User Segments;Africa;South Africa;Pretoria;Services professionnels (conseil, comptabilité, juridique)
08/01/2023;500;Digital Experience Monitoring;Speed Analysis;Asia;Japan;Sapporo;Tourisme et voyage
